COD_DEP,DEPARTAMENTO,COD_MUN,MUNICIPIO,AÑO,TOTAL
05,ANTIOQUIA,5001,MEDELLIN,2010,4371078
05,ANTIOQUIA,5001,MEDELLIN,2011,4427098
05,ANTIOQUIA,5001,MEDELLIN,2012,4481380
05,ANTIOQUIA,5001,MEDELLIN,2013,4533938
05,ANTIOQUIA,5001,MEDELLIN,2014,4587202
05,ANTIOQUIA,5001,MEDELLIN,2015,4641582
05,ANTIOQUIA,5001,MEDELLIN,2016,4702154
05,ANTIOQUIA,5001,MEDELLIN,2017,4770036
05,ANTIOQUIA,5002,ABEJORRAL,2010,43644
05,ANTIOQUIA,5002,ABEJORRAL,2011,43238
05,ANTIOQUIA,5002,ABEJORRAL,2012,42742
05,ANTIOQUIA,5002,ABEJORRAL,2013,42332
05,ANTIOQUIA,5002,ABEJORRAL,2014,41884
05,ANTIOQUIA,5002,ABEJORRAL,2015,41436
05,ANTIOQUIA,5002,ABEJORRAL,2016,41068
05,ANTIOQUIA,5002,ABEJORRAL,2017,40874
05,ANTIOQUIA,5004,ABRIAQUI,2010,5310
05,ANTIOQUIA,5004,ABRIAQUI,2011,5344
05,ANTIOQUIA,5004,ABRIAQUI,2012,5336
05,ANTIOQUIA,5004,ABRIAQUI,2013,5384
05,ANTIOQUIA,5004,ABRIAQUI,2014,5322
05,ANTIOQUIA,5004,ABRIAQUI,2015,5260
05,ANTIOQUIA,5004,ABRIAQUI,2016,5258
05,ANTIOQUIA,5004,ABRIAQUI,2017,5304
05,ANTIOQUIA,5021,ALEJANDRIA,2010,9358
05,ANTIOQUIA,5021,ALEJANDRIA,2011,9356
05,ANTIOQUIA,5021,ALEJANDRIA,2012,9298
05,ANTIOQUIA,5021,ALEJANDRIA,2013,9344
05,ANTIOQUIA,5021,ALEJANDRIA,2014,9348
05,ANTIOQUIA,5021,ALEJANDRIA,2015,9360
05,ANTIOQUIA,5021,ALEJANDRIA,2016,9240
05,ANTIOQUIA,5021,ALEJANDRIA,2017,9200
05,ANTIOQUIA,5030,AMAGA,2010,56264
05,ANTIOQUIA,5030,AMAGA,2011,56708
05,ANTIOQUIA,5030,AMAGA,2012,56964
05,ANTIOQUIA,5030,AMAGA,2013,57560
05,ANTIOQUIA,5030,AMAGA,2014,57776
05,ANTIOQUIA,5030,AMAGA,2015,58272
05,ANTIOQUIA,5030,AMAGA,2016,58788
05,ANTIOQUIA,5030,AMAGA,2017,59326
05,ANTIOQUIA,5031,AMALFI,2010,47972
05,ANTIOQUIA,5031,AMALFI,2011,48312
05,ANTIOQUIA,5031,AMALFI,2012,48664
05,ANTIOQUIA,5031,AMALFI,2013,49096
05,ANTIOQUIA,5031,AMALFI,2014,49506
05,ANTIOQUIA,5031,AMALFI,2015,49902
05,ANTIOQUIA,5031,AMALFI,2016,50388
05,ANTIOQUIA,5031,AMALFI,2017,51036
05,ANTIOQUIA,5034,ANDES,2010,84304
05,ANTIOQUIA,5034,ANDES,2011,84346
05,ANTIOQUIA,5034,ANDES,2012,84514
05,ANTIOQUIA,5034,ANDES,2013,84568
05,ANTIOQUIA,5034,ANDES,2014,84786
05,ANTIOQUIA,5034,ANDES,2015,85010
05,ANTIOQUIA,5034,ANDES,2016,85366
05,ANTIOQUIA,5034,ANDES,2017,85634
05,ANTIOQUIA,5036,ANGELOPOLIS,2010,11590
05,ANTIOQUIA,5036,ANGELOPOLIS,2011,11602
05,ANTIOQUIA,5036,ANGELOPOLIS,2012,11568
05,ANTIOQUIA,5036,ANGELOPOLIS,2013,11546
05,ANTIOQUIA,5036,ANGELOPOLIS,2014,11570
05,ANTIOQUIA,5036,ANGELOPOLIS,2015,11592
05,ANTIOQUIA,5036,ANGELOPOLIS,2016,11562
05,ANTIOQUIA,5036,ANGELOPOLIS,2017,11490
05,ANTIOQUIA,5038,ANGOSTURA,2010,23706
05,ANTIOQUIA,5038,ANGOSTURA,2011,23576
05,ANTIOQUIA,5038,ANGOSTURA,2012,23388
05,ANTIOQUIA,5038,ANGOSTURA,2013,23322
05,ANTIOQUIA,5038,ANGOSTURA,2014,23172
05,ANTIOQUIA,5038,ANGOSTURA,2015,23076
05,ANTIOQUIA,5038,ANGOSTURA,2016,22972
05,ANTIOQUIA,5038,ANGOSTURA,2017,22792
05,ANTIOQUIA,5040,ANORI,2010,33466
05,ANTIOQUIA,5040,ANORI,2011,33816
05,ANTIOQUIA,5040,ANORI,2012,34144
05,ANTIOQUIA,5040,ANORI,2013,34528
05,ANTIOQUIA,5040,ANORI,2014,34766
05,ANTIOQUIA,5040,ANORI,2015,35068
05,ANTIOQUIA,5040,ANORI,2016,35446
05,ANTIOQUIA,5040,ANORI,2017,35982
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2010,48762
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2011,49044
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2012,49396
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2013,49756
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2014,50150
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2015,50504
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2016,50924
05,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,2017,51616
05,ANTIOQUIA,5044,ANZA,2010,13624
05,ANTIOQUIA,5044,ANZA,2011,13710
05,ANTIOQUIA,5044,ANZA,2012,13760
05,ANTIOQUIA,5044,ANZA,2013,13788
05,ANTIOQUIA,5044,ANZA,2014,13810
05,ANTIOQUIA,5044,ANZA,2015,13952
05,ANTIOQUIA,5044,ANZA,2016,13922
05,ANTIOQUIA,5044,ANZA,2017,13940
05,ANTIOQUIA,5045,APARTADO,2010,204938
05,ANTIOQUIA,5045,APARTADO,2011,209406
05,ANTIOQUIA,5045,APARTADO,2012,213666
05,ANTIOQUIA,5045,APARTADO,2013,217820
05,ANTIOQUIA,5045,APARTADO,2014,222176
05,ANTIOQUIA,5045,APARTADO,2015,226486
05,ANTIOQUIA,5045,APARTADO,2016,231110
05,ANTIOQUIA,5045,APARTADO,2017,236128
05,ANTIOQUIA,5051,ARBOLETES,2010,58104
05,ANTIOQUIA,5051,ARBOLETES,2011,58118
05,ANTIOQUIA,5051,ARBOLETES,2012,58098
05,ANTIOQUIA,5051,ARBOLETES,2013,57898
05,ANTIOQUIA,5051,ARBOLETES,2014,57826
05,ANTIOQUIA,5051,ARBOLETES,2015,57834
05,ANTIOQUIA,5051,ARBOLETES,2016,57962
05,ANTIOQUIA,5051,ARBOLETES,2017,58090
05,ANTIOQUIA,5055,ARGELIA,2010,17578
05,ANTIOQUIA,5055,ARGELIA,2011,17324
05,ANTIOQUIA,5055,ARGELIA,2012,17008
05,ANTIOQUIA,5055,ARGELIA,2013,16728
05,ANTIOQUIA,5055,ARGELIA,2014,16476
